Name,Person.ID,Constituency,PCON22CD,Party,Value,Could be as low as,Could be as high as,wikidata,DisplayName,SocialistCampaignGroup,TribuneGroup,OneNation,TRG_Patron,ERG_Subscriber
Aaron BELL,25916,Newcastle-under-Lyme,E14000834,Conservative,73,62,84,http://www.wikidata.org/entity/Q76736935,Aaron BELL (Newcastle-under-Lyme),0,0,0,0,0
Abena OPPONG-ASARE,25846,Erith and Thamesmead,E14000696,Labour,35,23,47,http://www.wikidata.org/entity/Q76364044,Abena OPPONG-ASARE (Erith and Thamesmead),0,1,0,0,0
Adam AFRIYIE,11929,Windsor,E14001042,Conservative,79,67,92,http://www.wikidata.org/entity/Q258473,Adam AFRIYIE (Windsor),0,0,0,0,0
Adam HOLLOWAY,11599,Gravesham,E14000715,Conservative,84,73,95,http://www.wikidata.org/entity/Q689348,Adam HOLLOWAY (Gravesham),0,0,0,0,0
Afzal KHAN,25662,"Manchester, Gorton",E14000808,Labour,33,16,50,http://www.wikidata.org/entity/Q6712373,"Afzal KHAN (Manchester, Gorton)",0,0,0,0,0
Alan BROWN,25268,Kilmarnock and Loudoun,S14000040,Scottish National Party,27,12,42,http://www.wikidata.org/entity/Q19883288,Alan BROWN (Kilmarnock and Loudoun),0,0,0,0,0
Alan MAK,25285,Havant,E14000736,Conservative,80,69,92,http://www.wikidata.org/entity/Q19868483,Alan MAK (Havant),0,0,0,0,0
Alan WHITEHEAD,10630,"Southampton, Test",E14000956,Labour,36,22,50,http://www.wikidata.org/entity/Q264585,"Alan WHITEHEAD (Southampton, Test)",0,1,0,0,0
Alberto COSTA,25413,South Leicestershire,E14000940,Conservative,79,67,90,http://www.wikidata.org/entity/Q19957124,Alberto COSTA (South Leicestershire),0,0,1,0,0
Alec SHELBROOKE,24893,Elmet and Rothwell,E14000689,Conservative,80,66,95,http://www.wikidata.org/entity/Q393751,Alec SHELBROOKE (Elmet and Rothwell),0,0,0,0,1
Alex BURGHART,25659,Brentwood and Ongar,E14000594,Conservative,70,58,82,http://www.wikidata.org/entity/Q30234239,Alex BURGHART (Brentwood and Ongar),0,0,0,0,0
Alex CHALK,25340,Cheltenham,E14000630,Conservative,73,63,83,http://www.wikidata.org/entity/Q19956858,Alex CHALK (Cheltenham),0,0,0,0,0
Alex CUNNINGHAM,24742,Stockton North,E14000970,Labour,30,16,44,http://www.wikidata.org/entity/Q291649,Alex CUNNINGHAM (Stockton North),0,1,0,0,0
Alex DAVIES-JONES,25824,Pontypridd,W07000075,Labour,34,17,50,http://www.wikidata.org/entity/Q76364874,Alex DAVIES-JONES (Pontypridd),0,1,0,0,0
Alex NORRIS,25687,Nottingham North,E14000866,Labour,36,19,52,http://www.wikidata.org/entity/Q30234243,Alex NORRIS (Nottingham North),0,0,0,0,0
Alex SOBEL,25680,Leeds North West,E14000780,Labour,29,12,46,http://www.wikidata.org/entity/Q30164792,Alex SOBEL (Leeds North West),0,1,0,0,0
Alexander STAFFORD,25864,Rother Valley,E14000903,Conservative,76,60,92,http://www.wikidata.org/entity/Q76449027,Alexander STAFFORD (Rother Valley),0,0,0,0,0
Alicia KEARNS,25906,Rutland and Melton,E14000909,Conservative,75,64,86,http://www.wikidata.org/entity/Q76363294,Alicia KEARNS (Rutland and Melton),0,0,0,0,0
Alison MCGOVERN,24897,Wirral South,E14001043,Labour,48,35,60,http://www.wikidata.org/entity/Q694639,Alison MCGOVERN (Wirral South),0,0,0,0,0
Alison THEWLISS,25327,Glasgow Central,S14000029,Scottish National Party,19,5,34,http://www.wikidata.org/entity/Q19882771,Alison THEWLISS (Glasgow Central),0,0,0,0,0
Alistair CARMICHAEL,10785,Orkney and Shetland,S14000051,Liberal Democrat,39,24,54,http://www.wikidata.org/entity/Q269124,Alistair CARMICHAEL (Orkney and Shetland),0,0,0,0,0
Alister JACK,25674,Dumfries and Galloway,S14000013,Conservative,76,62,90,http://www.wikidata.org/entity/Q30165682,Alister JACK (Dumfries and Galloway),0,0,0,0,0
Allan DORANS,25870,"Ayr, Carrick and Cumnock",S14000006,Scottish National Party,35,19,52,http://www.wikidata.org/entity/Q75818980,"Allan DORANS (Ayr, Carrick and Cumnock)",0,0,0,0,0
Alok SHARMA,24902,Reading West,E14000890,Conservative,71,59,81,http://www.wikidata.org/entity/Q478531,Alok SHARMA (Reading West),0,0,0,0,0
Amanda MILLING,25350,Cannock Chase,E14000618,Conservative,74,63,85,http://www.wikidata.org/entity/Q20648982,Amanda MILLING (Cannock Chase),0,0,0,0,0
Amanda SOLLOWAY,25436,Derby North,E14000662,Conservative,75,63,87,http://www.wikidata.org/entity/Q20648487,Amanda SOLLOWAY (Derby North),0,0,0,0,0
Amy CALLAGHAN,25863,East Dunbartonshire,S14000018,Scottish National Party,30,15,44,http://www.wikidata.org/entity/Q75818988,Amy CALLAGHAN (East Dunbartonshire),0,0,0,0,0
Andrea JENKYNS,25431,Morley and Outwood,E14000826,Conservative,80,64,96,http://www.wikidata.org/entity/Q19874642,Andrea JENKYNS (Morley and Outwood),0,0,0,0,0
Andrea LEADSOM,24829,South Northamptonshire,E14000942,Conservative,79,66,92,http://www.wikidata.org/entity/Q750091,Andrea LEADSOM (South Northamptonshire),0,0,0,0,1
Andrew BOWIE,25703,West Aberdeenshire and Kincardine,S14000058,Conservative,77,67,87,http://www.wikidata.org/entity/Q30224657,Andrew BOWIE (West Aberdeenshire and Kincardine),0,0,0,0,0
Andrew BRIDGEN,24741,North West Leicestershire,E14000858,Conservative,71,59,82,http://www.wikidata.org/entity/Q265028,Andrew BRIDGEN (North West Leicestershire),0,0,0,0,0
Andrew GRIFFITH,25927,Arundel and South Downs,E14000534,Conservative,81,71,92,http://www.wikidata.org/entity/Q60040580,Andrew GRIFFITH (Arundel and South Downs),0,0,0,0,0
Andrew GWYNNE,11531,Denton and Reddish,E14000661,Labour,32,16,49,http://www.wikidata.org/entity/Q392216,Andrew GWYNNE (Denton and Reddish),0,1,0,0,0
Andrew JONES,24758,Harrogate and Knaresborough,E14000730,Conservative,75,64,85,http://www.wikidata.org/entity/Q728119,Andrew JONES (Harrogate and Knaresborough),0,0,0,0,0
Andrew LEWER,25686,Northampton South,E14000862,Conservative,73,61,85,http://www.wikidata.org/entity/Q16980037,Andrew LEWER (Northampton South),0,0,0,0,0
Andrew MITCHELL,11115,Sutton Coldfield,E14000985,Conservative,77,61,93,http://www.wikidata.org/entity/Q333261,Andrew MITCHELL (Sutton Coldfield),0,0,0,0,0
Andrew MURRISON,11132,South West Wiltshire,E14000954,Conservative,75,63,86,http://www.wikidata.org/entity/Q578234,Andrew MURRISON (South West Wiltshire),0,0,0,0,0
Andrew PERCY,24832,Brigg and Goole,E14000596,Conservative,79,67,90,http://www.wikidata.org/entity/Q575493,Andrew PERCY (Brigg and Goole),0,0,0,0,0
Andrew ROSINDELL,11199,Romford,E14000900,Conservative,75,62,89,http://www.wikidata.org/entity/Q480092,Andrew ROSINDELL (Romford),0,0,0,0,0
Andrew SELOUS,11216,South West Bedfordshire,E14000949,Conservative,73,61,85,http://www.wikidata.org/entity/Q478714,Andrew SELOUS (South West Bedfordshire),0,0,0,0,0
Andrew SLAUGHTER,11559,Hammersmith,E14000726,Labour,43,29,57,http://www.wikidata.org/entity/Q391341,Andrew SLAUGHTER (Hammersmith),0,1,0,0,0
Andrew STEPHENSON,24759,Pendle,E14000875,Conservative,77,66,87,http://www.wikidata.org/entity/Q341570,Andrew STEPHENSON (Pendle),0,0,0,0,0
Andrew WESTERN,26120,Stretford and Urmston,E14000979,Labour,38,22,55,http://www.wikidata.org/entity/Q76450765,Andrew WESTERN (Stretford and Urmston),0,0,0,0,0
Andy CARTER,25884,Warrington South,E14001018,Conservative,75,62,89,http://www.wikidata.org/entity/Q76448984,Andy CARTER (Warrington South),0,0,1,0,0
Andy MCDONALD,25169,Middlesbrough,E14000819,Labour,17,2,32,http://www.wikidata.org/entity/Q4761018,Andy MCDONALD (Middlesbrough),1,0,0,0,0
Angela CRAWLEY,25295,Lanark and Hamilton East,S14000042,Scottish National Party,30,18,43,http://www.wikidata.org/entity/Q19883053,Angela CRAWLEY (Lanark and Hamilton East),0,0,0,0,0
Angela EAGLE,10182,Wallasey,E14001010,Labour,37,24,51,http://www.wikidata.org/entity/Q302763,Angela EAGLE (Wallasey),0,0,0,0,0
Angela RAYNER,25429,Ashton-under-Lyne,E14000537,Labour,31,14,47,http://www.wikidata.org/entity/Q18164278,Angela RAYNER (Ashton-under-Lyne),0,0,0,0,0
Angela RICHARDSON,25827,Guildford,E14000719,Conservative,76,63,88,http://www.wikidata.org/entity/Q76363854,Angela RICHARDSON (Guildford),0,0,0,0,0
Angus MACNEIL,12004,Na h-Eileanan an Iar,S14000027,Scottish National Party,29,14,45,http://www.wikidata.org/entity/Q695092,Angus MACNEIL (Na h-Eileanan an Iar),0,0,0,0,0
Anna FIRTH,26059,Southend West,E14000957,Conservative,73,56,90,http://www.wikidata.org/entity/Q54670211,Anna FIRTH (Southend West),0,0,0,0,0
Anne MCLAUGHLIN,14146,Glasgow North East,S14000032,Scottish National Party,22,7,37,http://www.wikidata.org/entity/Q373047,Anne MCLAUGHLIN (Glasgow North East),0,0,0,0,0
Anne Marie MORRIS,24912,Newton Abbot,E14000835,Conservative,77,66,88,http://www.wikidata.org/entity/Q580321,Anne Marie MORRIS (Newton Abbot),0,0,0,0,0
Anne-Marie TREVELYAN,25439,Berwick-upon-Tweed,E14000554,Conservative,81,67,95,http://www.wikidata.org/entity/Q20648244,Anne-Marie TREVELYAN (Berwick-upon-Tweed),0,0,0,0,0
Anneliese DODDS,25618,Oxford East,E14000873,Labour,29,19,41,http://www.wikidata.org/entity/Q16529268,Anneliese DODDS (Oxford East),0,1,0,0,0
Anthony BROWNE,25850,South Cambridgeshire,E14000934,Conservative,74,62,85,http://www.wikidata.org/entity/Q4772161,Anthony BROWNE (South Cambridgeshire),0,0,1,0,0
